Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmTbYtQxYfMzJ2HVLtWh5xmLLZHQnd91kZS5rMwMKTGvTi	ABC #20		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmPSzpbSudFauPopHGpjQVqdsmsKdNTxjxdb7v8VBCP24o/metadata20.json
https://ipfs.infura.io/ipfs/QmVpD6bnGPj98phXgTeQhL9VKgZ8rYLcdVEr7enW3X5BH6	ABC #21		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmW5w9U7CJvf3tNRMBEskrjxB4o91fFMZawA3sMZPsbq3A/metadata21.json
https://ipfs.infura.io/ipfs/QmXixEv2bnc9RYks7UnDiExjQ65jUaZpDPeeDRb41Qti41	ABC #22		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTH2RwbR79zr6QeocnRGoEvugH3SeyG6cjpPvGoseAiy2/metadata22.json
https://ipfs.infura.io/ipfs/QmWwaMDZb9Zv41TgjeMJbszt3ciWjM6s4QNqjgmBsKnr8Q	ABC #23		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmcux56YxDk9CZWPDpdRSZjqGEaxPQ7spu3eLSMMD8VgyJ/metadata23.json
https://ipfs.infura.io/ipfs/QmXnEYzbsb4FeCdVUW84mqzPYjXNkZBGxy6o3fE8HfRhox	ABC #24		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmUAF4BAxQgL6Dv2YDn9UJW8vjyFJSFCQ9RBsfM2qrje9J/metadata24.json
https://ipfs.infura.io/ipfs/QmYxzwT8t1RKwWersJ3vm7iDM7Aj9gVEmC34XXicGyKC4Z	ABC #25		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTmtfxPdZCyrv4ZfwPDz6Rw55nKCMDn72sz5ZCkNj11u4/metadata25.json
https://ipfs.infura.io/ipfs/QmUJEpuHJgepzenzV64jZ2q1nLyUX2o8CRH3Qc6DGPPEQf	ABC #26		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVFyHp3ojJcGTFHmc6zz1HaLKfgiaVmTUiwThz5XGUtrd/metadata26.json
https://ipfs.infura.io/ipfs/QmQnyDs3xxn17J9h6WEhymRpSNZYZcsJg4BZVq9m4ch3Pe	ABC #27		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWouUr6boiZ8n2TzPWofL1tSDwvHsDi3wDWZoxjXnPZeB/metadata27.json
https://ipfs.infura.io/ipfs/Qmb4ftTg6yRt2KE4fbdztmoJcEt6xGCLLtn41UCs5tCxBj	ABC #28		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmQY19CFWVevZVmQ56obs1LkJVNAAgfEHiv3BuHqDeB7zQ/metadata28.json
https://ipfs.infura.io/ipfs/QmU9gWWYGHt6zaUHgKcsbVYmBPTS1UnTVkYgrs1v9iv8PE	ABC #29		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmUBxv58vT5kAhoZ7KEcNzx7fRDdJ8DDxwdCH1fJyb8XgG/metadata29.json
https://ipfs.infura.io/ipfs/QmVkUT28otnn361gBuLHVdoHEMdPYsug3ybBy9s3xGfZ6g	ABC #30		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmPYCt391FFZEXP4zQCcxuh1rbemonbMgnw1L4ccRx4Ygw/metadata30.json
https://ipfs.infura.io/ipfs/QmW1JdQ5UP7fcvYjcv15jnurYC41bgsUfuCdkgAGkhHhjW	ABC #31		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmNZwY7gXcAPhjEEEEEDkRDxAhWAAQX4hTWoBhiKunRMZp/metadata31.json
https://ipfs.infura.io/ipfs/QmarfgkzUiDtmkSYvGudYsgeiH76JA9Ki4AYpGqpbzWcN3	ABC #32		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qme6t7AzpPE3nqKU7qVDY6S8D8MX4qNuALPjmSDTXm1KUL/metadata32.json
https://ipfs.infura.io/ipfs/QmSRkZ2REmTxXQdRo4TzXwzu1bRMVuB7pCDnSZr729uV9C	ABC #33		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZEkGRfV4HFShZNkyonoHzNtnNfPnsoc1vDxW9e34qWic/metadata33.json
https://ipfs.infura.io/ipfs/QmW2WMwCz6NEpXhvkBumpJ9K2SYJZrgqCAaAXqe9EkY8QQ	ABC #34		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmU6BedFxB1toDbwPgiYbHxfePy3pep4h1oFrqZV8e8BH7/metadata34.json
https://ipfs.infura.io/ipfs/QmPL2f5scaaGud43J9efpTozHD8VLbdykThzQzy8MMuiG2	ABC #35		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTz2ihQVAG2M5EEwSiMvw32jHGB8zJ51uq6B1SYPQJgHA/metadata35.json
https://ipfs.infura.io/ipfs/QmWEVHDpCybb2jrDquJ2v7a9P1Bpy7iESFrdZ5yNehkd5k	ABC #36		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSwBWXisUNJ6TRG3ZEyEgwz5KeZspZ7zNA4hEGfyUsFBg/metadata36.json
https://ipfs.infura.io/ipfs/QmVUfF7d3uJuX3LtXoVp3kbTWT3eLiAyR4Em5iLBWatFeM	ABC #37		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmUtYWWoBCYS7NB636EJSbGeEYnqqWw35ByMByjHwwk27i/metadata37.json
https://ipfs.infura.io/ipfs/QmQpXxE5P5FfyQmWK2DuNjVRqkmDnFDhtGe1AVaVDAAFKi	ABC #38		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmbH3Yj5dX352wLgqPn3fSRnGVR2zDh5vMVVuFc4C72suA/metadata38.json
https://ipfs.infura.io/ipfs/QmRbF8rpc6x3xfAv8bG6QigmnEuNzdL5tbBEHLoaoqCdq5	ABC #39		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmV8ZHzSX7ieBF51ta6PNJf6CcBghxX776iYVb4teNNWa9/metadata39.json
https://ipfs.infura.io/ipfs/QmSkHk54FK9QYy5q6bwWUYNCGc3msMCSs9oqbE7cKQAkWb	ABC #40		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmdirEEBzmkpjo16DvZNk1CZtwpZftkA8FgwkGUpK576aw/metadata40.json
https://ipfs.infura.io/ipfs/QmdeJpxzEsavaW984scE8pTFtNVBqBZv99vY2tyjpVtFoo	ABC #41		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSCTU3kiafffDZVjYsPR27w8kMTnsjLF4tvQSnfR3kjxA/metadata41.json
https://ipfs.infura.io/ipfs/QmVR5gwMt9fLTr39LpD87dL7AdUweuzLUhTbkwxzzQTG8g	ABC #42		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSTuRCU3HqUFvSitwt4i3K1BntZM4ZChTT7iTNDwjdEVd/metadata42.json
https://ipfs.infura.io/ipfs/QmaS2TnhBjfozquFCEN7bPDVZcL2sKgoJuVD8RdeKiU8uQ	ABC #43		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmcDLyTaTFa3dUMJjiU3kEWvRmWxvHyjT28BB3Hpxpkifs/metadata43.json
https://ipfs.infura.io/ipfs/QmaZMXZ5re2V3atatHzhDReK1axMrcdJSQgTnRWW1PqGM1	ABC #44		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZQsvf4HE7kyRoe5pGtfNbG4YfmFcBJfru1ttGkqheMXb/metadata44.json
https://ipfs.infura.io/ipfs/QmUEQ6BbKejok9zWb8ci7ZpvrDb7DuAhoSRwKQYAq2EqBr	ABC #45		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTtF1AoVHtvLfAkxU9mzSHCfkP8CANAmLTRTybez9StNf/metadata45.json
https://ipfs.infura.io/ipfs/QmbTWfeRnchWU9rTeQ1mZDGnXC1EgBtJ6kH4Biie9rh7Rz	ABC #46		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmauFkesgYqv4eN2f6LV4WLjcuUS2RsLFxDjCdARHUrjuR/metadata46.json
https://ipfs.infura.io/ipfs/QmP2d95e4QyR64wVmF6hBGvhZ4BvJET7PFHakeUQ52nSSG	ABC #47		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSHEbbSmg3Z8xLZbw7mAAmALz9UNFYWg7ZSQa18BX5fCb/metadata47.json
https://ipfs.infura.io/ipfs/QmSEhbNWfGgEwPMs3LX7CEr5C6opbS7rzCoUpZdMLvk2CB	ABC #48		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYxLhFgBFy92MV6eYNPuV7fC9eGyuEAuvaBgyMMXBeWKJ/metadata48.json
https://ipfs.infura.io/ipfs/QmTme5g9JyWmsSy8wr3bv3wj1Zecr18ywy1XD7BWbTMnmb	ABC #49		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmeoxpyELLnaHwXGXyAxh68dToCLht73ft77S5av3Lzo5L/metadata49.json
https://ipfs.infura.io/ipfs/QmYfSoa4hjtSyCktPWkq6V6qhAq28AHtYNCWTX3KYBLtav	ABC #50		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVpUV6UbhGbecTNSukTtDcySTWMQmyWXCjaeizxMuokAM/metadata50.json
https://ipfs.infura.io/ipfs/QmR3uuS6hA6ttdpC9oXfaARgWP9u7HJBNzzChGXsCWJtqF	ABC #51		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZJbUhvDHgJWUdhdzQBf5qeE4MJerbg488WRZkNf2jaJT/metadata51.json
https://ipfs.infura.io/ipfs/QmYuDfYmTw381L6ci4PVn4yKLNShX1L3BFMLvZxE1VzHYN	ABC #52		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmeaAh4mFCw6cduKXw92f4wZc1JpFj9HRh1pRQku6cKmUt/metadata52.json
https://ipfs.infura.io/ipfs/QmVTFhMB5SPFAiTq48FiRfy376WxxPPwqkTcgLBDZgLCEf	ABC #53		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmNTGKLVyLHMd61XavPMoBoZbrWzrnXFmrtYDSngMvugEF/metadata53.json
https://ipfs.infura.io/ipfs/QmeZzyCGrixkEtWBiMnHx1kTAkDkApdhni4bhAKkarSBVx	ABC #54		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmRii1JngBsC4upedyq1AJk145af2TjKYUyzMb6jmLwdDz/metadata54.json
https://ipfs.infura.io/ipfs/QmSdE2QqUamJNeVUC6o3fJPhXbbSx26nmxa2SUXcpVjuKm	ABC #55		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmc6RbcCFcZ7dNcMu5aGmn6J2U3tfS5GxZF17arBNUVZS9/metadata55.json
https://ipfs.infura.io/ipfs/QmbNfFyRcCr7uxMuviyQ1iEu4nirioqvfnBWiYJKk7RXgs	ABC #56		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmS6J9YvrqUTpVcza59Zv7L7z9GyDc7ZSt8xWpZrytHsbi/metadata56.json
https://ipfs.infura.io/ipfs/QmaVP5qePfiyYHjLTNnasx7Mu8jDxYG5GWkhSiqf7TM3T5	ABC #57		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmUitNikQ7NRYJUnRBjuWjHy11op1Cqd6yGYVxZv1LYn2e/metadata57.json
https://ipfs.infura.io/ipfs/QmeQeU8436y8waxkufHDy6nbdLhGuLTbkmYTUfWpFRzHL2	ABC #58		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmNrytj3Mhdf1KcijJrUba1iBhNCgcEYRjDDV9k8ArNFx4/metadata58.json
https://ipfs.infura.io/ipfs/Qmf7yMWmyr2sbW5pHQpLnWFoAFyQ7aAVf1eMtKBjS5JgSY	ABC #59		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmfC7QyarShXpRxcCrwNJmMFiVTgzdD9LdFEAPhX6fY8LR/metadata59.json
https://ipfs.infura.io/ipfs/QmXvSDHW96CQs6gnBouFubUf9SrsG4rPyNthCK5PL37SBA	ABC #60		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTfSdAn9GgeS8kRjEpqEDnAXU3ow57ypg2WyNm3dyrpCT/metadata60.json
https://ipfs.infura.io/ipfs/QmQvLqHM8Y9PJRWUxCk8QXVK7b28eHqtCS1Cj66Qf1hSVv	ABC #61		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmRwdsGd3JjrhWpy2UtGAXwrxgtar2sb5cbQT4ZFyMybqH/metadata61.json
https://ipfs.infura.io/ipfs/QmSoBHwUPz41CJimuEdq9yaiKrXhUaGLotQ4Skp9Ustypu	ABC #62		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmY17H7joDNtZoD3SXRBrSzB4AdFYSfVHTPvPypYdnAXTt/metadata62.json
